Freq [GHz],Theta [deg],Phi [deg],dB(RealizedGainTotal) []
28,90,-180,-4.283083365
28,90,-179,-4.479763682
28,90,-178,-4.678657299
28,90,-177,-4.879878979
28,90,-176,-5.08354725
28,90,-175,-5.28978367
28,90,-174,-5.498711965
28,90,-173,-5.710457011
28,90,-172,-5.92514364
28,90,-171,-6.142895229
28,90,-170,-6.363832056
28,90,-169,-6.588069349
28,90,-168,-6.815715006
28,90,-167,-7.046866906
28,90,-166,-7.281609739
28,90,-165,-7.520011282
28,90,-164,-7.762118009
28,90,-163,-8.007949929
28,90,-162,-8.257494514
28,90,-161,-8.510699592
28,90,-160,-8.767465028
28,90,-159,-9.027633042
28,90,-158,-9.29097701
28,90,-157,-9.557188598
28,90,-156,-9.825863133
28,90,-155,-10.0964832
28,90,-154,-10.36840057
28,90,-153,-10.64081675
28,90,-152,-10.91276271
28,90,-151,-11.1830789
28,90,-150,-11.45039672
28,90,-149,-11.71312388
28,90,-148,-11.9694361
28,90,-147,-12.21727872
28,90,-146,-12.45438222
28,90,-145,-12.6782957
28,90,-144,-12.88644211
28,90,-143,-13.07619754
28,90,-142,-13.24499451
28,90,-141,-13.39044556
28,90,-140,-13.51047941
28,90,-139,-13.6034777
28,90,-138,-13.66839753
28,90,-137,-13.70486464
28,90,-136,-13.71322443
28,90,-135,-13.69454367
28,90,-134,-13.65056269
28,90,-133,-13.58360523
28,90,-132,-13.49645863
28,90,-131,-13.39223943
28,90,-130,-13.27425935
28,90,-129,-13.14590372
28,90,-128,-13.01053028
28,90,-127,-12.8713921
28,90,-126,-12.73158502
28,90,-125,-12.59401718
28,90,-124,-12.46139717
28,90,-123,-12.33623671
28,90,-122,-12.22086396
28,90,-121,-12.11744423
28,90,-120,-12.02800541
28,90,-119,-11.95446628
28,90,-118,-11.89866652
28,90,-117,-11.86239769
28,90,-116,-11.84743508
28,90,-115,-11.85557048
28,90,-114,-11.8886466
28,90,-113,-11.94859377
28,90,-112,-12.03747007
28,90,-111,-12.15750644
28,90,-110,-12.31115837
28,90,-109,-12.50116667
28,90,-108,-12.73062985
28,90,-107,-13.00309178
28,90,-106,-13.32264851
28,90,-105,-13.6940786
28,90,-104,-14.12300074
28,90,-103,-14.61605909
28,90,-102,-15.18112651
28,90,-101,-15.82748866
28,90,-100,-16.56590144
28,90,-99,-17.40823617
28,90,-98,-18.36597492
28,90,-97,-19.44568632
28,90,-96,-20.6369306
28,90,-95,-21.88300174
28,90,-94,-23.02383787
28,90,-93,-23.74519043
28,90,-92,-23.70332315
28,90,-91,-22.8688546
28,90,-90,-21.56341884
28,90,-89,-20.11924148
28,90,-88,-18.71575617
28,90,-87,-17.41969837
28,90,-86,-16.24551657
28,90,-85,-15.18797242
28,90,-84,-14.23586912
28,90,-83,-13.37724957
28,90,-82,-12.60116326
28,90,-81,-11.89811904
28,90,-80,-11.26006154
